,URL,Coin Name,SKU,AUD
0,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-10th-anniversary-2024-1oz-gold-proof-high-relief-coin/,Australian Wedge-tailed Eagle 10th Anniversary 2024 1oz Gold Proof High Relief Coin,24U48AAA,5299.0 AUD
1,https://www.perthmint.com/shop/collector-coins/coins/universe-starry-sky-and-planets-2024-5oz-antiqued-coloured-coin/,Universe Starry Sky and Planets 2024 5oz Silver Antiqued Coloured Coin,24U31AAA,699.0 AUD
2,https://www.perthmint.com/shop/collector-coins/coins/2024-james-bond-legacy-daniel-craig-1oz-99.99-ag-pr-coin/,James Bond Legacy Series - 5th Issue 2024 1oz Silver Proof Coloured Coin,24S84AAA,149.0 AUD
3,https://www.perthmint.com/shop/collector-coins/coins/bon-scott-2024-1oz-silver-proof-coloured-coin/,Bon Scott 2024 1oz Silver Proof Coloured Coin,24S81AAA,149.0 AUD
4,https://www.perthmint.com/shop/collector-coins/coins/the-perth-mints-125th-anniversary-2024-1oz-silver-typeset-collection/,The Perth Mint's 125th Anniversary 2024 1oz Silver Typeset Collection,24U47DZAA,458.99 AUD
5,https://www.perthmint.com/shop/collector-coins/coins/the-perth-mints-125th-anniversary-2024-2oz-silver-proof-gilded-coin/,The Perth Mint's 125th Anniversary 2024 2oz Silver Proof Gilded Coin,24U47FAA,268.99 AUD
6,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-5oz-gold-proof-coin/,Australian Kangaroo 2024 5oz Gold Proof Coin,24114KAAA,24999.0 AUD
7,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-gold-proof-four-coin-set/,Australian Kangaroo 2024 Gold Proof Four-Coin Set,24R62ZAA,9989.99 AUD
8,https://www.perthmint.com/shop/collector-coins/coins/lion-king-30th-anniversary-circle-of-life-2024-1oz-silver-proof-coloured-coin/,The Lion King 30th Anniversary Circle of Life 2024 1oz Silver Proof Coloured Coin,24V89AAA,165.0 AUD
9,https://www.perthmint.com/shop/collector-coins/coins/batman-85th-anniversary-2024-1oz-silver-antiqued-shaped-coin/,BATMAN™ 85th Anniversary 2024 1oz Silver Antiqued Shaped Coin,24V88AAA,180.0 AUD
10,https://www.perthmint.com/shop/collector-coins/coins/george-michael-2024-uk-5-pound-brilliant-uncirculated-coin/,George Michael 2024 UK £5 Brilliant Uncirculated Coin,24V58AAA,37.5 AUD
11,https://www.perthmint.com/shop/collector-coins/coins/james-bond-the-man-with-the-golden-gun-50th-anniversary-2024-1oz-silver-proof-coloured-coin/,James Bond The Man With The Golden Gun 50th Anniversary 2024 1oz Silver Proof Coloured Coin,24Q55AAA,149.0 AUD
12,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-2oz-gold-proof-high-relief-coin/,Australian Kangaroo 2024 2oz Gold Proof High Relief Coin,24314CAAA,10550.0 AUD
13,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-1oz-gold-proof-high-relief-coin/,Australian Kangaroo 2024 1oz Gold Proof High Relief Coin,24314DAAA,5299.0 AUD
14,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-1-4oz-gold-proof-coin/,Australian Kangaroo 2024 1/4oz Gold Proof Coin,24114FAAA,1365.0 AUD
15,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-1-10oz-gold-proof-coin/,Australian Kangaroo 2024 1/10oz Gold Proof Coin,24114GAAA,560.0 AUD
16,https://www.perthmint.com/shop/collector-coins/coins/mini-roo-2024-0-5g-gold-in-card/,Mini Roo 2024 0.5g Gold Coin in Card,2401410AAD,115.0 AUD
17,https://www.perthmint.com/shop/collector-coins/the-perth-mints-125th-anniversary-2024-1oz-gold-proof-coin/,The Perth Mint's 125th Anniversary 2024 1oz Gold Proof Coin,24U47DAA,5299.0 AUD
18,https://www.perthmint.com/shop/collector-coins/coins/britannia-2024-1oz-silver-proof-coin/,Britannia 2024 1oz Silver Proof Coin,24V45AAA,260.0 AUD
19,https://www.perthmint.com/shop/collector-coins/coins/benedetto-pistrucci-st-george-and-the-dragon-2024-2oz-silver-proof-coin/,Benedetto Pistrucci St George and the Dragon 2024 2oz Silver Proof Coin,24V44AAA,595.0 AUD
20,https://www.perthmint.com/shop/collector-coins/coins/buckingham-palace-2024-5-pound-silver-proof-coin/,Buckingham Palace 2024 £5 Silver Proof Coin,24V46AAA,235.0 AUD
